
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDPLWSPWFSUPLS_PREDA-G.ANL  Predicted Value File
File Date:      Mon Mar 22 15:19:37 2021
Last Update:    Mon Mar 22 15:19:37 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        6445            Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        6445 of 6445

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 9.3609695, 10.3621864, 28.9369488, 49.4510918,
2,"<none>", 9.3604488, 10.3846645, 28.9002857, 49.4308815,
3,"<none>", 9.3648691, 10.3587866, 28.9906254, 49.5082550,
4,"<none>", 9.3544722, 10.3995562, 28.7912121, 49.3255997,
5,"<none>", 9.3568659, 10.3777075, 28.9239559, 49.4477959,
6,"<none>", 9.3696222, 10.3784304, 28.9847965, 49.5242767,
7,"14NY0656-2", 4.8805361, 4.6624269, 12.2208328, 21.6992989,
8,"14NY0656-2", 4.8770480, 4.6602621, 12.2230625, 21.6926708,
9,"14NY0440-1", 4.3921723, 3.9154472, 11.1016178, 19.0621281,
10,"14NY0440-1", 4.3858624, 3.8979940, 11.1183281, 19.0570755,
11,"15W3032-2", 4.8586602, 4.3129926, 13.6151524, 22.7295189,
12,"15W3032-2", 4.8556175, 4.3096709, 13.6036301, 22.7100201,
13,"14NY0617-2", 5.4516726, 4.6400166, 17.0914879, 27.0933762,
14,"14NY0617-2", 5.4455867, 4.6362753, 17.0628090, 27.0511742,
15,"14NY0656-1", 5.1850057, 4.5865040, 14.8474064, 24.4609280,
16,"14NY656-1", 5.1860380, 4.5862694, 14.8570976, 24.4694996,
17,"14NY0656-1", 5.1942968, 4.5963149, 14.9010324, 24.5306778,
18,"15W2361-2", 4.9221268, 4.4943161, 13.9146976, 23.3321667,
19,"15W2361-2", 4.9171829, 4.4919767, 13.8820219, 23.2883682,
20,"14NY0444-1", 6.7450075, 5.3450174, 25.6833210, 37.7292671,
21,"14NY0444-1", 6.7401481, 5.3400102, 25.6685028, 37.7023430,
22,"14NY0444-1", 6.7286396, 5.3457613, 25.5657520, 37.5900726,
23,"15W2807-2", 5.3454199, 5.0740862, 14.7909908, 25.3062267,
24,"15W2807-2", 5.3429728, 5.0663576, 14.8057785, 25.3086624,
25,"15W2807-2", 5.3401413, 5.0698156, 14.7871513, 25.2873878,
26,"15W3205-2", 5.5034904, 5.5417652, 14.9009256, 26.0512276,
27,"15W3205-2", 5.4983969, 5.5339708, 14.8973122, 26.0316982,
28,"14NY0150-1", 7.3454924, 6.3080578, 28.5412865, 42.1763382,
29,"14NY0150-1", 7.3451619, 6.3052826, 28.5321274, 42.1630287,
30,"14W30927-1", 5.1599665, 5.1850033, 13.3854342, 23.8182106,
31,"14W30927-1", 5.1578503, 5.1713467, 13.4103174, 23.8277931,
32,"15W3146-2", 7.5056853, 6.0941730, 30.6011219, 44.1049767,
33,"15W3146-2", 7.5036240, 6.0897789, 30.5823250, 44.0798836,
34,"14NY0407-2", 4.7783175, 4.0165286, 13.1688070, 21.9066410,
35,"14NY0407-2", 4.7736173, 4.0260844, 13.1051426, 21.8444557,
36,"14NY0407-2", 4.7714305, 4.0218806, 13.1045132, 21.8353729,
37,"15W3610-18", 5.9675121, 5.4225740, 18.4779377, 29.7224197,
38,"15W3610-1", 5.9755578, 5.4245167, 18.5440445, 29.7980843,
39,"14NY0407-1", 4.7007494, 3.8085179, 12.9947958, 21.3802433,
40,"14NY0407-1", 4.6877298, 3.7995472, 12.9142952, 21.2733116,
41,"14NY0407-1", 4.6843133, 3.7999401, 12.9106007, 21.2626495,
42,"15W2610-2", 6.3895373, 5.7911167, 22.9198437, 34.8975410,
43,"15W2610-2", 6.3907795, 5.7908082, 22.9270668, 34.9053040,
44,"14NY0150-2", 7.0344548, 5.9470606, 27.2731571, 40.2100067,
45,"14NY0150-2", 7.0363369, 5.9506979, 27.2647839, 40.2069778,
46,"14NY0617-1", 5.4668636, 4.7528172, 17.0123520, 27.0990906,
47,"14NY0617-1", 5.4635267, 4.7482433, 17.0106544, 27.0899372,
48,"14NY0444-2", 6.6129618, 5.6119804, 24.1750755, 36.2752342,
49,"14NY0444-2", 6.6150928, 5.6091566, 24.1956234, 36.2951851,
50,"14NY0072-2", 5.3508945, 4.7895737, 16.2604866, 26.2829056,
51,"14NY0072-2", 5.3457036, 4.7856941, 16.2436924, 26.2532272,
52,"17KMF1", 7.2534466, 8.0321159, 20.6285172, 35.8029480,
53,"17KMF10", 8.2831860, 9.0787582, 23.7437859, 41.8002548,
54,"17KMF100", 7.6779442, 8.5392876, 20.9592876, 37.8110161,
55,"17KMF101", 7.0200996, 7.6756907, 18.9078255, 34.1674576,
56,"17KMF102", 7.3518486, 8.2029095, 20.8410873, 36.4394760,
57,"17KMF103", 7.0375352, 7.6055388, 18.9891281, 34.3297729,
58,"17KMF104", 7.2529707, 8.1562672, 20.1847076, 35.6768761,
59,"17KMF105", 6.0830011, 6.5936580, 14.8489771, 28.1494007,
60,"17KMF106", 7.8021584, 8.7297888, 22.7887573, 39.2390556,
61,"17KMF107", 5.9663777, 6.5692024, 15.5388956, 28.0380402,
62,"17KMF108", 8.2138920, 9.3049631, 23.9237938, 41.3548126,
63,"17KMF109", 8.0263138, 8.9809275, 23.5917091, 40.6015320,
64,"17KMF110", 7.6160202, 8.5965586, 21.7362041, 37.9044075,
65,"17KMF111", 7.1406002, 7.8090696, 19.6033287, 35.0057449,
66,"17KMF112", 7.4314876, 8.1030617, 21.0535507, 37.0205765,
67,"17KMF113", 8.1625528, 8.9513741, 23.1324329, 41.0021667,
68,"17KMF114", 6.9080658, 7.6109715, 19.2776718, 33.7663879,
69,"17KMF115", 6.9443707, 7.7019057, 18.7756195, 33.6800919,
70,"17KMF116", 7.1258755, 7.8586702, 19.2175331, 34.9847603,
71,"17KMF117", 6.9456968, 7.5576758, 18.6228600, 33.9123039,
72,"17KMF118", 7.8064389, 8.6115465, 21.7366600, 38.9011917,
73,"17KMF119", 6.8891759, 7.7292876, 18.8808937, 33.4813347,
74,"17KMF12", 7.2255645, 7.9634714, 20.9265842, 35.9522095,
75,"17KMF120", 7.3714600, 8.1351967, 20.9619980, 36.5967026,
76,"17KMF121", 7.3445053, 8.1931267, 21.0837479, 36.5484657,
77,"17KMF122", 6.9068136, 7.4968271, 18.4781876, 33.6184654,
78,"17KMF123", 7.0833077, 8.0016308, 19.5319519, 34.7034149,
79,"17KMF124", 7.4712791, 8.1375875, 20.5975113, 36.8502045,
80,"17KMF125", 6.9423785, 7.4581046, 18.9060822, 33.9377365,
81,"17KMF126", 7.6922016, 8.5492039, 21.8655128, 38.3718643,
82,"17KMF127", 6.9565287, 7.5595117, 18.8519783, 33.9375992,
83,"17KMF128", 7.5129452, 8.1068153, 20.3748131, 36.7835960,
84,"17KMF129", 7.3891268, 8.1406994, 19.9078217, 36.0630150,
85,"17KMF13", 7.1027398, 7.6247911, 19.0986500, 34.4613838,
86,"17KMF130", 3.3710847, 3.0668712, 7.8190804, 13.8038521,
87,"17KMF131", 6.8265572, 7.4700041, 18.0356789, 32.9878120,
88,"17KMF132", 6.7089963, 7.5516200, 18.2416801, 32.3855286,
89,"17KMF133", 8.1229067, 8.8226471, 23.3433952, 40.9039803,
90,"17KMF134", 7.0798106, 7.8440137, 19.8968391, 34.9018555,
91,"17KMF135", 7.1752725, 7.7186708, 19.5027065, 35.0758514,
92,"17KMF136", 7.9251604, 8.7652712, 23.7667961, 40.4667931,
93,"17KMF137", 7.6910543, 8.3956747, 21.5720253, 38.3399467,
94,"17KMF138", 7.3992262, 8.1964283, 20.3059406, 36.5004349,
95,"17KMF139", 6.9996471, 7.7828536, 19.4069328, 34.2292023,
96,"17KMF14", 7.1369185, 7.9656315, 20.0294151, 35.1716919,
97,"17KMF140", 6.7929249, 7.4515343, 18.0832138, 32.7061157,
98,"17KMF141", 7.5387549, 8.2903070, 20.7138863, 37.2087440,
99,"17KMF142", 6.5350137, 7.2008576, 16.9939098, 31.1699867,
100,"17KMF143", 7.6370897, 8.5690126, 21.8629169, 37.9087067,
101,"17KMF144", 6.6688066, 7.2227168, 17.7757320, 32.1324768,
102,"17KMF145", 5.9298067, 6.5677862, 15.2517328, 27.6226120,
103,"17KMF147", 7.3618727, 8.0931644, 21.1317844, 36.6939812,
104,"17KMF148", 6.8975458, 7.6533489, 19.1693802, 33.7555313,
105,"17KMF15", 6.5887079, 7.3068814, 17.2073956, 31.5200386,
106,"17KMF150", 6.3582234, 7.0632992, 16.6574707, 29.9824677,
107,"17KMF151", 7.6416988, 8.4629021, 22.2276192, 38.1567535,
108,"17KMF152", 5.4829459, 5.9266357, 12.7007923, 24.8044224,
109,"17KMF153", 6.3986392, 6.9453926, 15.9700794, 30.0263176,
110,"17KMF154", 8.2071724, 9.2109375, 23.9423141, 41.5099831,
111,"17KMF155", 7.7504411, 8.3835697, 21.6891022, 38.5602875,
112,"17KMF156", 7.1712255, 7.9089756, 20.5068607, 35.4457321,
113,"17KMF157", 7.2585592, 8.1070805, 20.7837105, 35.9128685,
114,"17KMF158", 6.9818244, 7.7155890, 18.7347641, 33.7376595,
115,"17KMF159", 7.8589334, 8.6181526, 21.5973263, 38.6612091,
116,"17KMF16", 7.3394647, 8.1895781, 20.7373581, 36.2285233,
117,"17KMF160", 7.1747150, 7.8988981, 20.5786800, 35.5633240,
118,"17KMF161", 7.1194077, 7.7934036, 19.2260723, 34.7512169,
119,"17KMF162", 7.7823548, 8.4690657, 21.8419533, 38.8285141,
120,"17KMF163", 7.9325151, 8.7754917, 23.3035316, 40.0262070,
121,"17KMF164", 8.0863705, 9.1157379, 23.7411423, 40.8562126,
122,"17KMF166", 6.9084606, 7.5927858, 18.4229774, 33.5250053,
123,"17KMF167", 7.6139092, 8.5220366, 21.8525772, 37.9925308,
124,"17KMF168", 6.5537238, 7.0786395, 17.1645279, 31.3583107,
125,"17KMF169", 6.7863221, 7.4788661, 19.0661430, 33.2114716,
126,"17KMF17", 7.3857441, 8.1132059, 19.8218079, 35.9688225,
127,"17KMF170", 6.9591732, 7.6760178, 19.3364792, 34.1095238,
128,"17KMF171", 5.9435673, 6.4068751, 14.6411114, 27.4870338,
129,"17KMF172", 7.6513066, 8.6482840, 22.1446114, 38.3214874,
130,"17KMF173", 7.3842616, 8.3063450, 21.1060028, 36.6793976,
131,"17KMF174", 7.6903629, 8.5152540, 22.2521210, 38.6252289,
132,"17KMF175", 8.1290894, 9.0306606, 23.0990391, 40.8174248,
133,"17KMF176", 7.7202668, 8.4153442, 21.3721848, 38.2057152,
134,"17KMF177", 7.4327579, 8.1539154, 20.3886070, 36.6996880,
135,"17KMF178", 7.3288698, 8.2665310, 20.8249149, 36.2769165,
136,"17KMF18", 6.8532972, 7.5427732, 19.0873985, 33.5253220,
137,"17KMF180", 8.0626688, 8.8983002, 23.7962418, 40.9184151,
